PCT,CRIME,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013
1,RAPE                                  ,12,5,10,11,11,5,4,7,12,4,6,13,10,12
5,RAPE                                  ,9,3,12,7,7,13,5,4,2,6,10,11,12,5
6,RAPE                                  ,7,5,7,11,7,12,6,7,5,9,13,15,15,8
7,RAPE                                  ,14,12,8,11,8,10,7,7,11,11,11,14,19,6
9,RAPE                                  ,12,11,18,15,22,20,14,15,9,16,14,13,15,18
10,RAPE                                  ,10,7,2,20,18,16,10,8,9,6,10,13,10,12
13,RAPE                                  ,8,13,26,20,21,11,9,6,11,9,13,17,17,11
14,RAPE                                  ,12,11,12,14,24,17,3,16,7,6,17,15,9,10
17,RAPE                                  ,9,7,14,8,10,12,11,6,8,11,8,10,10,6
18,RAPE                                  ,14,14,15,19,26,20,6,12,8,7,15,11,14,14
19,RAPE                                  ,14,9,12,12,19,8,12,10,14,10,16,15,16,6
20,RAPE                                  ,6,8,7,14,7,6,7,7,7,4,11,11,12,10
22,RAPE                                  ,3,3,5,4,7,2,0,1,1,0,7,2,1,4
23,RAPE                                  ,18,32,31,34,33,44,22,21,15,22,26,28,29,17
24,RAPE                                  ,14,15,15,16,18,21,10,13,12,9,11,12,10,10
25,RAPE                                  ,21,22,20,28,36,23,24,19,17,14,17,23,29,22
26,RAPE                                  ,6,9,12,12,25,19,12,8,16,10,13,7,10,9
28,RAPE                                  ,24,19,24,25,16,20,18,12,14,9,13,18,17,12
30,RAPE                                  ,27,30,23,30,33,32,24,18,12,19,35,21,11,21
32,RAPE                                  ,45,34,34,45,34,43,32,30,35,24,31,27,33,27
33,RAPE                                  ,19,21,28,25,16,27,30,13,18,15,21,27,19,19
34,RAPE                                  ,40,27,38,37,40,27,23,24,19,17,22,18,20,25
40,RAPE                                  ,36,50,47,44,36,28,39,24,29,24,23,23,26,25
41,RAPE                                  ,34,19,18,31,21,21,18,18,16,12,20,18,12,17
42,RAPE                                  ,40,44,47,32,37,33,20,23,23,24,20,28,30,24
43,RAPE                                  ,67,67,79,61,49,36,37,37,32,47,35,22,38,26
44,RAPE                                  ,62,65,89,82,50,40,31,40,49,32,33,34,33,30
45,RAPE                                  ,22,17,20,22,12,18,13,12,14,15,19,13,17,9
46,RAPE                                  ,48,71,71,70,56,45,46,43,29,24,23,32,30,28
47,RAPE                                  ,57,47,64,54,39,49,42,35,30,23,37,36,30,36
48,RAPE                                  ,53,40,39,40,31,31,27,28,30,25,20,19,21,24
49,RAPE                                  ,18,19,26,25,18,21,19,19,19,11,23,18,17,15
50,RAPE                                  ,19,23,20,23,24,16,16,7,9,8,8,9,10,2
52,RAPE                                  ,51,56,50,47,29,36,28,32,28,24,27,22,24,26
60,RAPE                                  ,26,28,29,14,12,26,13,8,15,10,18,12,23,18
61,RAPE                                  ,19,17,24,19,9,20,12,10,5,10,5,11,10,19
62,RAPE                                  ,22,17,14,10,21,11,7,12,10,6,13,12,8,16
63,RAPE                                  ,12,19,15,19,12,20,13,7,7,12,17,16,15,13
66,RAPE                                  ,19,19,20,9,13,17,8,10,10,14,11,8,7,7
67,RAPE                                  ,71,53,60,48,49,44,28,22,21,24,31,45,32,50
68,RAPE                                  ,13,18,11,9,11,11,8,7,9,6,6,9,16,4
69,RAPE                                  ,28,36,39,28,19,25,9,16,18,16,15,16,8,13
70,RAPE                                  ,51,62,48,51,42,27,38,27,33,11,24,21,15,25
71,RAPE                                  ,30,38,43,32,26,26,18,17,13,23,13,20,16,17
72,RAPE                                  ,28,33,27,22,26,24,21,10,7,11,20,25,23,22
73,RAPE                                  ,56,56,33,47,40,43,35,33,29,37,35,31,35,42
75,RAPE                                  ,102,92,106,100,86,66,58,44,57,50,61,54,75,61
76,RAPE                                  ,13,5,10,9,9,4,9,7,3,1,2,7,8,7
77,RAPE                                  ,58,46,53,47,39,20,21,17,19,15,23,23,19,24
78,RAPE                                  ,11,10,14,14,6,7,3,7,5,6,5,8,3,7
79,RAPE                                  ,53,43,50,42,57,39,35,29,23,24,29,34,18,26
81,RAPE                                  ,32,29,38,35,29,18,23,24,10,11,24,16,21,17
83,RAPE                                  ,48,56,42,44,48,45,35,34,29,36,36,29,40,29
84,RAPE                                  ,7,6,18,4,5,12,6,5,4,3,2,3,5,4
88,RAPE                                  ,20,14,26,25,11,9,6,11,7,4,8,14,10,11
90,RAPE                                  ,24,19,37,23,27,21,24,14,10,8,9,23,11,17
94,RAPE                                  ,5,6,6,9,8,5,3,6,3,2,2,3,12,16
100,RAPE                                  ,9,10,11,10,5,7,14,6,7,5,4,5,4,3
101,RAPE                                  ,37,17,27,23,15,28,22,19,12,21,16,17,15,19
102,RAPE                                  ,28,27,31,33,30,23,24,24,27,23,14,23,29,24
103,RAPE                                  ,31,36,40,48,49,44,38,27,32,32,21,37,34,37
104,RAPE                                  ,14,15,20,15,22,23,29,11,17,13,21,14,15,15
105,RAPE                                  ,32,38,37,38,35,54,41,37,32,32,19,27,34,18
106,RAPE                                  ,33,19,12,27,23,17,27,21,19,11,18,10,16,19
107,RAPE                                  ,18,19,14,15,22,23,19,17,12,12,14,13,10,7
108,RAPE                                  ,21,17,10,24,12,27,13,16,9,12,17,11,16,15
